,Presidents,Sentences,Preprocessed_Sentences,Predicted_Label,Score,Sentiment_Score
11,Mandela,"To her and others like her, we owe a commitment to the poor, the oppressed, the wretched and the despised.","To her and others like her, we owe a commitment to the poor, the oppressed, the wretched and the despised.",negative,0.7512,-0.7308423649519682
12,Mandela,"In the aftermath of the massacre at the anti-pass demonstration in Sharpeville she wrote that:  ""The child is not dead the child lifts his fists against his mother who shouts Africa!...","In the aftermath of the massacre at the anti-pass demonstration in Sharpeville she wrote that:  ""The child is not dead the child lifts his fists against his mother who shouts Africa!...",negative,0.6415,-0.620927095413208
13,Mandela,"The child is not dead Not at Langa nor at Nyanga nor at Orlando nor at Sharpeville nor at the police post at Philippi where he lies with a bullet through his brain...  the child is present at all assemblies and law-giving the child peers through the windows of houses and into the hearts of mothers this child who only wanted to play in the sun at Nyanga is everywhere  the child grown to a man treks on through all Africa the child grown to a giant journeys over the whole world without a pass!""","The child is not dead Not at Langa nor at Nyanga nor at Orlando nor at Sharpeville nor at the police post at Philippi where he lies with a bullet through his brain...  the child is present at all assemblies and law-giving the child peers through the windows of houses and into the hearts of mothers this child who only wanted to play in the sun at Nyanga is everywhere  the child grown to a man treks on through all Africa the child grown to a giant journeys over the whole world without a pass!""",neutral,0.6123,-0.2695804052054882
14,Mandela,"And in this glorious vision, she instructs that our endeavours must be about the liberation of the woman, the emancipation of the man and the liberty of the child.","And in this glorious vision, she instructs that our endeavours must be about the liberation of the woman, the emancipation of the man and the liberty of the child.",positive,0.8304,0.8233869769610465
15,Mandela,It is these things that we must achieve to give meaning to our presence in this chamber and to give purpose to our occupancy of the seat of government.,It is these things that we must achieve to give meaning to our presence in this chamber and to give purpose to our occupancy of the seat of government.,neutral,0.6402,0.33271752018481493
16,Mandela,"And so we must, constrained by and yet regardless of the accumulated effect of our historical burdens, seize the time to define for ourselves what we want to make of our shared destiny.","And so we must, constrained by and yet regardless of the accumulated effect of our historical burdens, seize the time to define for ourselves what we want to make of our shared destiny.",neutral,0.8118,0.09780753403902054
17,Mandela,"The government I have the honour to lead and I dare say the masses who elected us to serve in this role, are inspired by the single vision of creating a people-centred society.","The government I have the honour to lead and I dare say the masses who elected us to serve in this role, are inspired by the single vision of creating a people-centred society.",positive,0.8186,0.8057321775704622
18,Mandela,"Accordingly, the purpose that will drive this government shall be the expansion of the frontiers of human fulfilment, the continuous extension of the frontiers of the freedom.","Accordingly, the purpose that will drive this government shall be the expansion of the frontiers of human fulfilment, the continuous extension of the frontiers of the freedom.",neutral,0.6993,0.268408577889204
19,Mandela,"The acid test of the legitimacy of the programmes we elaborate, the government institutions we create, the legislation we adopt must be whether they serve these objectives.","The acid test of the legitimacy of the programmes we elaborate, the government institutions we create, the legislation we adopt must be whether they serve these objectives.",neutral,0.851,-0.04578309506177902
20,Mandela,Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.,Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.,neutral,0.5214,0.4411153420805931
21,Mandela,We must construct that people-centred society of freedom in such a manner that it guarantees the political and the human rights of all our citizens.,We must construct that people-centred society of freedom in such a manner that it guarantees the political and the human rights of all our citizens.,neutral,0.5113,0.4394614342600107
22,Mandela,"As an affirmation of the government's commitment to an entrenched human rights culture, we shall immediately take steps to inform the Secretary General of the United Nations that we will subscribe to the Universal Declaration of Human Rights.","As an affirmation of the government's commitment to an entrenched human rights culture, we shall immediately take steps to inform the Secretary General of the United Nations that we will subscribe to the Universal Declaration of Human Rights.",neutral,0.6195,0.357759615406394
23,Mandela,"We shall take steps to ensure that we accede to the International Covenant on Civil and Political Rights, the International Covenant on Social and Economic Rights and other human rights instruments of the United Nations.","We shall take steps to ensure that we accede to the International Covenant on Civil and Political Rights, the International Covenant on Social and Economic Rights and other human rights instruments of the United Nations.",neutral,0.7176,0.2527925381436944
24,Mandela,Our definition of the freedom of the individual must be instructed by the fundamental objective to restore the human dignity of each and every South African.,Our definition of the freedom of the individual must be instructed by the fundamental objective to restore the human dignity of each and every South African.,neutral,0.7739,0.13656286895275116
25,Mandela,This requires that we speak not only of political freedoms.,This requires that we speak not only of political freedoms.,neutral,0.8544,-0.04826873540878296
26,Mandela,"My government's commitment to create a people-centred society of liberty binds us to the pursuit of the goals of freedom from want, freedom from hunger, freedom from deprivation, freedom from ignorance, freedom from suppression and freedom from fear.","My government's commitment to create a people-centred society of liberty binds us to the pursuit of the goals of freedom from want, freedom from hunger, freedom from deprivation, freedom from ignorance, freedom from suppression and freedom from fear.",positive,0.5975,0.5829300004988909
27,Mandela,These freedoms are fundamental to the guarantee of human dignity.,These freedoms are fundamental to the guarantee of human dignity.,positive,0.5521,0.5268064830452204
28,Mandela,"They will therefore constitute part of the centrepiece of what this government will seek to achieve, the focal point on which our attention will be continuously focused.","They will therefore constitute part of the centrepiece of what this government will seek to achieve, the focal point on which our attention will be continuously focused.",neutral,0.5192,0.46018143836408854
29,Mandela,"The things we have said constitute the true meaning, the justification and the purpose of the Reconstruction and Development Programme, without which it would lose all legitimacy.","The things we have said constitute the true meaning, the justification and the purpose of the Reconstruction and Development Programme, without which it would lose all legitimacy.",neutral,0.6876,-0.15977709740400314
30,Mandela,When we elaborated this Programme we were inspired by the hope that all South Africans of goodwill could join together to provide a better life for all.,When we elaborated this Programme we were inspired by the hope that all South Africans of goodwill could join together to provide a better life for all.,positive,0.9196,0.91415347578004
31,Mandela,We were pleased that other political organisations announced similar aims.,We were pleased that other political organisations announced similar aims.,positive,0.9552,0.9520950810983777
32,Mandela,"Today, I am happy to announce that the Cabinet of the Government of National Unity has reached consensus not only on the broad objective of the creation of the people-centred society of which I have spoken, but also on many elements of a plan broadly based on that Programme for Reconstruction and Development.","Today, I am happy to announce that the Cabinet of the Government of National Unity has reached consensus not only on the broad objective of the creation of the people-centred society of which I have spoken, but also on many elements of a plan broadly based on that Programme for Reconstruction and Development.",positive,0.9259,0.9226759383454919
33,Mandela,Let me indicate some of the more important agreements.,Let me indicate some of the more important agreements.,neutral,0.7209,0.24468183889985085
34,Mandela,"Annually, in the combined budgets of central government and the provinces, we will provide for an increasing amount of funding for the plan.","Annually, in the combined budgets of central government and the provinces, we will provide for an increasing amount of funding for the plan.",neutral,0.5471,0.44113743817433715
35,Mandela,"This will start with an appropriation of R2,5 billion in the 1994/95 budget that will be presented next month.","This will start with an appropriation of R2,5 billion in the 1994/95 budget that will be presented next month.",neutral,0.9482,0.020479103550314903
36,Mandela,This should rise to more than R10 billion by the fifth year of the life of this government.,This should rise to more than R10 billion by the fifth year of the life of this government.,neutral,0.6727,0.13256067782640457
37,Mandela,Government will also use its own allocation of funds to the Reconstruction and Development Plan to exert maximum leverage in marshalling funds from within South Africa and abroad.,Government will also use its own allocation of funds to the Reconstruction and Development Plan to exert maximum leverage in marshalling funds from within South Africa and abroad.,neutral,0.861,0.11190079804509878
38,Mandela,"In this regard, I am pleased to report that we have been holding consultation with some of the principal business leaders of our country.","In this regard, I am pleased to report that we have been holding consultation with some of the principal business leaders of our country.",positive,0.9186,0.9162249257788062
39,Mandela,"Consequently, we are assured that the business sector can and will make a significant contribution towards the structuring and management of such reconstruction and development funds, towards the effective identification and implementation of projects and by supporting the financing of the socio-economic development effort.","Consequently, we are assured that the business sector can and will make a significant contribution towards the structuring and management of such reconstruction and development funds, towards the effective identification and implementation of projects and by supporting the financing of the socio-economic development effort.",positive,0.8242,0.8174917357973754
40,Mandela,I am also pleased to report that many of our friends abroad have already made commitments to assist us to generate the reconstruction and development funds we need.,I am also pleased to report that many of our friends abroad have already made commitments to assist us to generate the reconstruction and development funds we need.,positive,0.9683,0.9654083449859172
41,Mandela,We thank them most sincerely for their positive attitude which arises not from objectives of charity but from the desire to express solidarity with the new society we seek to build.,We thank them most sincerely for their positive attitude which arises not from objectives of charity but from the desire to express solidarity with the new society we seek to build.,positive,0.9679,0.9639579961076379
42,Mandela,"We accept the duty of coordinating the management of the total resources that will be generated, without seeking to prescribe to other contributors or undermining the continued role of non-governmental organisations and community-based organisations.","We accept the duty of coordinating the management of the total resources that will be generated, without seeking to prescribe to other contributors or undermining the continued role of non-governmental organisations and community-based organisations.",neutral,0.8325,0.0861249715089798
43,Mandela,"The initial R2,5 billion will be found from savings and the redirection of spending, as included in the preliminary 1994/95 budget proposals presented to Cabinet.","The initial R2,5 billion will be found from savings and the redirection of spending, as included in the preliminary 1994/95 budget proposals presented to Cabinet.",neutral,0.914,0.053261471912264824
44,Mandela,"I would like to thank the departments of state for their cooperation in carrying out this adjustment to their planning, at short notice.","I would like to thank the departments of state for their cooperation in carrying out this adjustment to their planning, at short notice.",positive,0.8366,0.8281355295330286
45,Mandela,"As we allocate larger amount in future, we shall require further adjustments by departments, partly to correct the bias in the spending patterns which are a legacy of the past.","As we allocate larger amount in future, we shall require further adjustments by departments, partly to correct the bias in the spending patterns which are a legacy of the past.",neutral,0.8271,-0.07054008543491364
46,Mandela,The longer period shall allow such changes to be properly planned.,The longer period shall allow such changes to be properly planned.,neutral,0.7609,0.1900247260928154
47,Mandela,But they will still make great demands on the managerial capacity and spirit of cooperation of the Cabinet and the whole civil service.,But they will still make great demands on the managerial capacity and spirit of cooperation of the Cabinet and the whole civil service.,neutral,0.7851,-0.023147448897361755
48,Mandela,"We are confident that, motivated by the desire to serve the people, the public service will discharge its responsibilities with diligence, sensitivity and enthusiasm, among other things paying attention to the important goal of increasing efficiency and productivity.","We are confident that, motivated by the desire to serve the people, the public service will discharge its responsibilities with diligence, sensitivity and enthusiasm, among other things paying attention to the important goal of increasing efficiency and productivity.",positive,0.9146,0.9081171583384275
49,Mandela,My government is equally committed to ensure that we use this longer period properly fully to bring into the decision-making processes organs of civil society.,My government is equally committed to ensure that we use this longer period properly fully to bring into the decision-making processes organs of civil society.,positive,0.6052,0.5903261741623282
50,Mandela,"This will include the trade union movement and civic organisations, so that at no time should the government become isolated from the people.","This will include the trade union movement and civic organisations, so that at no time should the government become isolated from the people.",neutral,0.8489,0.06687739118933678
51,Mandela,"At the same time, steps will be taken to build the capacity of communities to manage their own affairs.","At the same time, steps will be taken to build the capacity of communities to manage their own affairs.",neutral,0.741,0.21762158535420895
52,Mandela,"Precisely because we are committed to ensuring sustainable growth and development leading to a better life for all, we will continue existing programmes of fiscal rehabilitation.","Precisely because we are committed to ensuring sustainable growth and development leading to a better life for all, we will continue existing programmes of fiscal rehabilitation.",positive,0.8744,0.8690569880418479
53,Mandela,We are therefore determined to make every effort to contain real general government consumption at present levels and to manage the budget deficit with a view to its continuous reduction.,We are therefore determined to make every effort to contain real general government consumption at present levels and to manage the budget deficit with a view to its continuous reduction.,neutral,0.7057,0.20407041534781456
54,Mandela,"Similarly, we are agreed that a permanently higher general level of taxation is to be avoided.","Similarly, we are agreed that a permanently higher general level of taxation is to be avoided.",neutral,0.6619,-0.2559914365410805
55,Mandela,To achieve these important objectives will require consistent discipline on the part of both the central and the provincial governments.,To achieve these important objectives will require consistent discipline on the part of both the central and the provincial governments.,neutral,0.7347,0.20800031535327435
56,Mandela,"Furthermore, this disciplined approach will ensure that we integrate the objectives of our Reconstruction and Development Plan within government expenditure and not treat them as incidental to the tasks of government, marginalised to the status of mere additions to the level of expenditure.","Furthermore, this disciplined approach will ensure that we integrate the objectives of our Reconstruction and Development Plan within government expenditure and not treat them as incidental to the tasks of government, marginalised to the status of mere additions to the level of expenditure.",neutral,0.7276,0.1929749958217144
57,Mandela,There are major areas of desperate need in our society.,There are major areas of desperate need in our society.,negative,0.7421,-0.7120324838906527
58,Mandela,"As a signal of its seriousness to address these, the government will, within the next 100 days, implement various projects under the direct supervision of the President.","As a signal of its seriousness to address these, the government will, within the next 100 days, implement various projects under the direct supervision of the President.",neutral,0.8249,0.1594674582593143
59,Mandela,Let me briefly mention these.,Let me briefly mention these.,neutral,0.828,0.15000650566071272
60,Mandela,Children under the age of six and pregnant mothers will receive free medical care in every state hospital and clinic where such need exists.,Children under the age of six and pregnant mothers will receive free medical care in every state hospital and clinic where such need exists.,neutral,0.7053,0.25745185278356075
61,Mandela,"Similarly, a nutritional feeding scheme will be implemented in every primary school where such need is established.","Similarly, a nutritional feeding scheme will be implemented in every primary school where such need is established.",neutral,0.7293,0.229610001668334
62,Mandela,A concrete process of consultation between the major stakeholders in this area will be organised immediately.,A concrete process of consultation between the major stakeholders in this area will be organised immediately.,neutral,0.8266,0.13466489873826504
63,Mandela,A programme is already being implemented to electrify 350 000 homes during the current financial year.,A programme is already being implemented to electrify 350 000 homes during the current financial year.,neutral,0.735,0.25235026981681585
64,Mandela,"A campaign will be launched at every level of government, a public works programme designed and all efforts made to involve the private sector, organised labour, the civics and other community organisations to rebuild our townships, restore services in rural and urban areas, while addressing the issue of job creation and training, especially for our unemployed youth.","A campaign will be launched at every level of government, a public works programme designed and all efforts made to involve the private sector, organised labour, the civics and other community organisations to rebuild our townships, restore services in rural and urban areas, while addressing the issue of job creation and training, especially for our unemployed youth.",neutral,0.5898,0.3791029825806618
65,Mandela,"Many details of the overall reconstruction and development plan remain to be discussed, agreed and put in place.","Many details of the overall reconstruction and development plan remain to be discussed, agreed and put in place.",neutral,0.9172,0.0229592677205801
66,Mandela,"But I believe that the broad outline I have given and the immediate initiatives I have mentioned, will allow you to share my joy at the progress already made by the Government of National Unity with regard to this important matter.","But I believe that the broad outline I have given and the immediate initiatives I have mentioned, will allow you to share my joy at the progress already made by the Government of National Unity with regard to this important matter.",positive,0.9552,0.9523118881043047
67,Mandela,We shall carry out this plan within the context of a policy aimed at building a strong and growing economy which will benefit all our people.,We shall carry out this plan within the context of a policy aimed at building a strong and growing economy which will benefit all our people.,positive,0.8836,0.8784964177757502
68,Mandela,I would like to deal with a few matters in this regard.,I would like to deal with a few matters in this regard.,neutral,0.8131,0.00012043118476867676
69,Mandela,"In support of sustainable economic growth and the macro-economic objective of Government, it will remain the primary objective of monetary policy to promote and maintain overall financial stability.","In support of sustainable economic growth and the macro-economic objective of Government, it will remain the primary objective of monetary policy to promote and maintain overall financial stability.",positive,0.6539,0.6436804439872503
70,Mandela,The Reserve Bank has the important function of protecting the value of our currency and striving for relative price stability at all times.,The Reserve Bank has the important function of protecting the value of our currency and striving for relative price stability at all times.,neutral,0.703,0.2557522524148226
71,Mandela,We are pleased that Dr Chris Stals will continue to serve as Governor of the Reserve Bank.,We are pleased that Dr Chris Stals will continue to serve as Governor of the Reserve Bank.,positive,0.961,0.9596748498734087
72,Mandela,The battle to reduce the rate of inflation will continue.,The battle to reduce the rate of inflation will continue.,neutral,0.8158,-0.05869431793689728
73,Mandela,The realisation of many of our objectives for a fair and equal treatment of all our people will not be possible unless we succeed in avoiding high inflation in the economy.,The realisation of many of our objectives for a fair and equal treatment of all our people will not be possible unless we succeed in avoiding high inflation in the economy.,neutral,0.5663,-0.2807130217552185
74,Mandela,"We also face a major challenge in re-entering the global economy, while stable prices are vital to the restructuring of our industries and dealing with the critical issue of job-creation.","We also face a major challenge in re-entering the global economy, while stable prices are vital to the restructuring of our industries and dealing with the critical issue of job-creation.",neutral,0.6995,-0.12416896224021912
75,Mandela,We are blessed with a heritage of a sophisticated financial sector.,We are blessed with a heritage of a sophisticated financial sector.,positive,0.9495,0.9439793131314218
76,Mandela,Our financial markets are well-placed to play an important part in the allocation of scarce funds to give effect to our economic development programme.,Our financial markets are well-placed to play an important part in the allocation of scarce funds to give effect to our economic development programme.,positive,0.8421,0.8363481848500669
77,Mandela,"It is however also necessary that we think in new ways, to meet the challenges of reconstruction and development.","It is however also necessary that we think in new ways, to meet the challenges of reconstruction and development.",neutral,0.8135,0.09493695572018623
78,Mandela,We therefore welcome recent developments that provide for the creation of community banks.,We therefore welcome recent developments that provide for the creation of community banks.,positive,0.9155,0.912426984636113
79,Mandela,We would also like to encourage the greater participation of established financial institutions in the important area of black economic empowerment and support for the development of small and medium business.,We would also like to encourage the greater participation of established financial institutions in the important area of black economic empowerment and support for the development of small and medium business.,positive,0.7695,0.7627300890162587
80,Mandela,The latter two areas of economic activity will receive the greatest attention of the Government because of their importance in deracialising and democratising the economy and creating the jobs which our people need.,The latter two areas of economic activity will receive the greatest attention of the Government because of their importance in deracialising and democratising the economy and creating the jobs which our people need.,positive,0.8389,0.8334001223556697
81,Mandela,We pay attention to the important matter of consumer protection to shield the ordinary people of our country from unscrupulous business practices.,We pay attention to the important matter of consumer protection to shield the ordinary people of our country from unscrupulous business practices.,neutral,0.645,0.1570766270160675
82,Mandela,We must also clear that we must pay increased attention to tourism.,We must also clear that we must pay increased attention to tourism.,neutral,0.8332,0.08959322050213814
83,Mandela,The jobs and foreign currency which tourism generates will strongly influence our economy.,The jobs and foreign currency which tourism generates will strongly influence our economy.,positive,0.5484,0.5351786268875003
84,Mandela,The active and imaginative intervention of all stake stakeholders in this area of our national life must take advantage of the excellent atmosphere created by our peaceful transition to democracy to make tourism a major positive force in the future.,The active and imaginative intervention of all stake stakeholders in this area of our national life must take advantage of the excellent atmosphere created by our peaceful transition to democracy to make tourism a major positive force in the future.,positive,0.8912,0.8860052577219903
85,Mandela,We look forward to the private sector as a whole playing a central role in achieving the signi-ficantly high and sustainable rates of economic growth.,We look forward to the private sector as a whole playing a central role in achieving the signi-ficantly high and sustainable rates of economic growth.,positive,0.9083,0.9038658831268549
86,Mandela,We are convinced that the growth prospects of this sector will be enhanced by the measures of fiscal discipline contained in our approach to the Reconstruction and Development Programme and by the continued steady course of monetary policy.,We are convinced that the growth prospects of this sector will be enhanced by the measures of fiscal discipline contained in our approach to the Reconstruction and Development Programme and by the continued steady course of monetary policy.,positive,0.8973,0.8915192019194365
87,Mandela,"As growth proceeds, more domestic savings will progressively become available to finance increased investment at reasonable rates of interest.","As growth proceeds, more domestic savings will progressively become available to finance increased investment at reasonable rates of interest.",positive,0.5049,0.4919535042718053
88,Mandela,"The Government is also acutely conscious of the fact that we should work firstly to return the capital account of the balance of payments to equilibrium and, in due course, to ensure a net inflow of resources, consistent with the experience of other countries that enjoy more rapid growth rates.","The Government is also acutely conscious of the fact that we should work firstly to return the capital account of the balance of payments to equilibrium and, in due course, to ensure a net inflow of resources, consistent with the experience of other countries that enjoy more rapid growth rates.",neutral,0.7595,0.1770094931125641
89,Mandela,The present situation of a dual currency and the existence of an exchange control apparatus is a direct result of the conflict in which our country was embroiled in the past.,The present situation of a dual currency and the existence of an exchange control apparatus is a direct result of the conflict in which our country was embroiled in the past.,neutral,0.4953,-0.4795923186466098
90,Mandela,"As the situation returns to normal, these arrangements will be subjected to critical scrutiny.","As the situation returns to normal, these arrangements will be subjected to critical scrutiny.",neutral,0.8528,-0.06005953252315521
91,Mandela,It should be possible to match the steady growth of confidence at home and abroad with other confidence enhancing modifications to everybody's benefit.,It should be possible to match the steady growth of confidence at home and abroad with other confidence enhancing modifications to everybody's benefit.,positive,0.7911,0.7820317959412932
92,Mandela,"The Government will also address all other matters that relate the creation of an attractive investment climate for both domestic and foreign investors, conscious of the fact that we have to compete with the rest of the world in terms of attracting, in particular, foreign direct investment.","The Government will also address all other matters that relate the creation of an attractive investment climate for both domestic and foreign investors, conscious of the fact that we have to compete with the rest of the world in terms of attracting, in particular, foreign direct investment.",neutral,0.674,0.27193936705589294
93,Mandela,"I am pleased that we have already started to address the important question of our trade policy, guided by our GATT commitments and the determination systematically to open the economy to global competition in a carefully managed process.","I am pleased that we have already started to address the important question of our trade policy, guided by our GATT commitments and the determination systematically to open the economy to global competition in a carefully managed process.",positive,0.8968,0.8914948380552232
94,Mandela,"Soon we will also begin trade negotiations with, among others, the European Union, the United States, our partners in the Southern African Customs Unions and our neighbours in the Southern African Development Community to provide a stable and mutually beneficial framework for our international economic relations.","Soon we will also begin trade negotiations with, among others, the European Union, the United States, our partners in the Southern African Customs Unions and our neighbours in the Southern African Development Community to provide a stable and mutually beneficial framework for our international economic relations.",neutral,0.7247,0.2584929643198848
95,Mandela,We will also be looking very closely at the question of enhancing South-South cooperation in general as part of the effort to expand our economic links with the rest of the world.,We will also be looking very closely at the question of enhancing South-South cooperation in general as part of the effort to expand our economic links with the rest of the world.,neutral,0.5429,0.44526381231844425
96,Mandela,"Consistent with our objective of creating a people-centred society and effectively to address the critical questions of growth, reconstruction and development, we will, together with organised labour and the private sector, pay special attention to the issue of human resource development.","Consistent with our objective of creating a people-centred society and effectively to address the critical questions of growth, reconstruction and development, we will, together with organised labour and the private sector, pay special attention to the issue of human resource development.",positive,0.5405,0.5297191655263305
97,Mandela,Both the public and the private sectors will be encouraged to regard labour as a resource and not a cost.,Both the public and the private sectors will be encouraged to regard labour as a resource and not a cost.,neutral,0.7143,0.2200833149254322
98,Mandela,"Education and training must therefore be looked at very closely to ensure that we empower the workers, raise productivity levels and meet the skills needs of a modern economy.","Education and training must therefore be looked at very closely to ensure that we empower the workers, raise productivity levels and meet the skills needs of a modern economy.",positive,0.614,0.5943311713635921
99,Mandela,"Important work will have to be done in and significant resources devoted to the areas of science and technology, including research and development.","Important work will have to be done in and significant resources devoted to the areas of science and technology, including research and development.",positive,0.6409,0.6313345795497298
100,Mandela,Government is also convinced that organised labour is an important partner whose cooperation is crucial for the reconstruction and development of our country.,Government is also convinced that organised labour is an important partner whose cooperation is crucial for the reconstruction and development of our country.,positive,0.8307,0.8241649521514773
101,Mandela,"That partnership requires, among other things, that our labour law be reformed so that it is in line with international standards, apartheid vestiges are removed and a more harmonious labour relations dispensation is created, on the basis of tripartite cooperation between government, labour and capital.","That partnership requires, among other things, that our labour law be reformed so that it is in line with international standards, apartheid vestiges are removed and a more harmonious labour relations dispensation is created, on the basis of tripartite cooperation between government, labour and capital.",neutral,0.7354,0.15803011879324913
102,Mandela,"The Government is determined forcefully to confront the scourge of unemployment, not by way of handouts but by the creation of work opportunities.","The Government is determined forcefully to confront the scourge of unemployment, not by way of handouts but by the creation of work opportunities.",neutral,0.6416,0.24136140570044518
103,Mandela,"The Government will also deal sensitively with the issue of population movements into the country, to protect our workers, to guard against the exploitation of vulnerable workers and to ensure friendly relations with all countries and peoples.","The Government will also deal sensitively with the issue of population movements into the country, to protect our workers, to guard against the exploitation of vulnerable workers and to ensure friendly relations with all countries and peoples.",neutral,0.7787,0.14709172397851944
104,Mandela,The Government is also taking urgent measures to deal firmly with drug trafficking some of which is carried out by foreign nationals who are resident in the country.,The Government is also taking urgent measures to deal firmly with drug trafficking some of which is carried out by foreign nationals who are resident in the country.,neutral,0.709,-0.22619497030973434
105,Mandela,We must end racism in the workplace as part of our common offensive against racism in general.,We must end racism in the workplace as part of our common offensive against racism in general.,neutral,0.5066,-0.40480394288897514
106,Mandela,"No more should words like Kaffirs, Hottentots, Coolies, Boy, Girl and Baas be part of our vocabulary.","No more should words like Kaffirs, Hottentots, Coolies, Boy, Girl and Baas be part of our vocabulary.",negative,0.8574,-0.8481480479240417
107,Mandela,I also trust that the matter of paying the workers for the public holidays proclaimed in order to ensure their participation in the elections and the inauguration ceremonies will now be resolved as a result of recent consultations.,I also trust that the matter of paying the workers for the public holidays proclaimed in order to ensure their participation in the elections and the inauguration ceremonies will now be resolved as a result of recent consultations.,neutral,0.6537,0.3178788376972079
108,Mandela,This would be a welcome demonstration by the private sector of its involvement in the beautiful future we are all trying to build.,This would be a welcome demonstration by the private sector of its involvement in the beautiful future we are all trying to build.,positive,0.9775,0.9754610371310264
109,Mandela,We have devoted time to a discussion of economic questions because they are fundamental to the realisation of the fundamental objectives of the reconstruction and development programme.,We have devoted time to a discussion of economic questions because they are fundamental to the realisation of the fundamental objectives of the reconstruction and development programme.,neutral,0.6025,0.3731789365410805
110,Mandela,Below I mention some of the work in which the relevant governments are already involved to translate these objectives into reality.,Below I mention some of the work in which the relevant governments are already involved to translate these objectives into reality.,neutral,0.907,0.05109935440123081
111,Mandela,The Government will take steps to ensure the provision of clean water on the basis of the principle of water security for all and the introduction of proper sanitation sensitive to the protection of the environment.,The Government will take steps to ensure the provision of clean water on the basis of the principle of water security for all and the introduction of proper sanitation sensitive to the protection of the environment.,positive,0.5722,0.5595977734774351
112,Mandela,"We are determined to address the dire housing shortage in a vigorous manner, acting together with the private sector and the communities in need of shelter.","We are determined to address the dire housing shortage in a vigorous manner, acting together with the private sector and the communities in need of shelter.",positive,0.5176,0.4901841301470995
113,Mandela,Health also remains a fundamental building block of the humane society we are determined to create through the implementation of the Reconstruction and Development Programme.,Health also remains a fundamental building block of the humane society we are determined to create through the implementation of the Reconstruction and Development Programme.,positive,0.5143,0.49711135029792786
114,Mandela,"We must address the needs of the aged and disabled, uplift disadvantaged sectors such as the women and the youth, and improve the lives of our people in the rural communities and the informal settlements.","We must address the needs of the aged and disabled, uplift disadvantaged sectors such as the women and the youth, and improve the lives of our people in the rural communities and the informal settlements.",neutral,0.6119,0.31834840774536133
115,Mandela,We must invest substantial amounts in education and training and meet our commitment to introduce free and compulsory education for a period of at least 9 years.,We must invest substantial amounts in education and training and meet our commitment to introduce free and compulsory education for a period of at least 9 years.,neutral,0.6008,0.3627609387040138
116,Mandela,Everywhere we must reinculcate the culture of learning and of teaching and make it possible for this culture to thrive.,Everywhere we must reinculcate the culture of learning and of teaching and make it possible for this culture to thrive.,positive,0.6442,0.6298878220841289
117,Mandela,"We must combat such social pathologies as widespread poverty, the break down of family life, crime, alcohol and drug abuse, the abuse of children, women and the elderly and the painful reality of street children.","We must combat such social pathologies as widespread poverty, the break down of family life, crime, alcohol and drug abuse, the abuse of children, women and the elderly and the painful reality of street children.",negative,0.8622,-0.8548800153657794
