,Presidents,Sentences,Preprocessed_Sentences,Sentiment_Score,Predicted_Label
41,Mandela,We thank them most sincerely for their positive attitude which arises not from objectives of charity but from the desire to express solidarity with the new society we seek to build.,We thank them most sincerely for their positive attitude which arises not from objectives of charity but from the desire to express solidarity with the new society we seek to build.,0.8772219680249691,Positive
42,Mandela,"We accept the duty of coordinating the management of the total resources that will be generated, without seeking to prescribe to other contributors or undermining the continued role of non-governmental organisations and community-based organisations.","We accept the duty of coordinating the management of the total resources that will be generated, without seeking to prescribe to other contributors or undermining the continued role of non-governmental organisations and community-based organisations.",0.12630844861268997,Neutral
43,Mandela,"The initial R2,5 billion will be found from savings and the redirection of spending, as included in the preliminary 1994/95 budget proposals presented to Cabinet.","The initial R2,5 billion will be found from savings and the redirection of spending, as included in the preliminary 1994/95 budget proposals presented to Cabinet.",-0.019180450588464737,Neutral
44,Mandela,"I would like to thank the departments of state for their cooperation in carrying out this adjustment to their planning, at short notice.","I would like to thank the departments of state for their cooperation in carrying out this adjustment to their planning, at short notice.",0.9479766571894288,Positive
45,Mandela,"As we allocate larger amount in future, we shall require further adjustments by departments, partly to correct the bias in the spending patterns which are a legacy of the past.","As we allocate larger amount in future, we shall require further adjustments by departments, partly to correct the bias in the spending patterns which are a legacy of the past.",-0.13986746966838837,Neutral
46,Mandela,The longer period shall allow such changes to be properly planned.,The longer period shall allow such changes to be properly planned.,0.5305892154574394,Positive
47,Mandela,But they will still make great demands on the managerial capacity and spirit of cooperation of the Cabinet and the whole civil service.,But they will still make great demands on the managerial capacity and spirit of cooperation of the Cabinet and the whole civil service.,0.04732820391654968,Positive
48,Mandela,"We are confident that, motivated by the desire to serve the people, the public service will discharge its responsibilities with diligence, sensitivity and enthusiasm, among other things paying attention to the important goal of increasing efficiency and productivity.","We are confident that, motivated by the desire to serve the people, the public service will discharge its responsibilities with diligence, sensitivity and enthusiasm, among other things paying attention to the important goal of increasing efficiency and productivity.",0.8381166737526655,Positive
49,Mandela,My government is equally committed to ensure that we use this longer period properly fully to bring into the decision-making processes organs of civil society.,My government is equally committed to ensure that we use this longer period properly fully to bring into the decision-making processes organs of civil society.,0.6050729900598526,Positive
50,Mandela,"This will include the trade union movement and civic organisations, so that at no time should the government become isolated from the people.","This will include the trade union movement and civic organisations, so that at no time should the government become isolated from the people.",-0.16432566940784454,Neutral
51,Mandela,"At the same time, steps will be taken to build the capacity of communities to manage their own affairs.","At the same time, steps will be taken to build the capacity of communities to manage their own affairs.",0.21664191037416458,Neutral
52,Mandela,"Precisely because we are committed to ensuring sustainable growth and development leading to a better life for all, we will continue existing programmes of fiscal rehabilitation.","Precisely because we are committed to ensuring sustainable growth and development leading to a better life for all, we will continue existing programmes of fiscal rehabilitation.",0.8696976182982326,Positive
53,Mandela,We are therefore determined to make every effort to contain real general government consumption at present levels and to manage the budget deficit with a view to its continuous reduction.,We are therefore determined to make every effort to contain real general government consumption at present levels and to manage the budget deficit with a view to its continuous reduction.,0.5207014791667461,Positive
54,Mandela,"Similarly, we are agreed that a permanently higher general level of taxation is to be avoided.","Similarly, we are agreed that a permanently higher general level of taxation is to be avoided.",-0.10385385155677795,Neutral
55,Mandela,To achieve these important objectives will require consistent discipline on the part of both the central and the provincial governments.,To achieve these important objectives will require consistent discipline on the part of both the central and the provincial governments.,0.3454044759273529,Positive
56,Mandela,"Furthermore, this disciplined approach will ensure that we integrate the objectives of our Reconstruction and Development Plan within government expenditure and not treat them as incidental to the tasks of government, marginalised to the status of mere additions to the level of expenditure.","Furthermore, this disciplined approach will ensure that we integrate the objectives of our Reconstruction and Development Plan within government expenditure and not treat them as incidental to the tasks of government, marginalised to the status of mere additions to the level of expenditure.",0.35747747868299484,Positive
57,Mandela,There are major areas of desperate need in our society.,There are major areas of desperate need in our society.,-0.0836348682641983,Neutral
58,Mandela,"As a signal of its seriousness to address these, the government will, within the next 100 days, implement various projects under the direct supervision of the President.","As a signal of its seriousness to address these, the government will, within the next 100 days, implement various projects under the direct supervision of the President.",0.19135687872767448,Neutral
59,Mandela,Let me briefly mention these.,Let me briefly mention these.,-0.015842564404010773,Neutral
60,Mandela,Children under the age of six and pregnant mothers will receive free medical care in every state hospital and clinic where such need exists.,Children under the age of six and pregnant mothers will receive free medical care in every state hospital and clinic where such need exists.,0.1557634137570858,Neutral
61,Mandela,"Similarly, a nutritional feeding scheme will be implemented in every primary school where such need is established.","Similarly, a nutritional feeding scheme will be implemented in every primary school where such need is established.",0.11891183629631996,Neutral
62,Mandela,A concrete process of consultation between the major stakeholders in this area will be organised immediately.,A concrete process of consultation between the major stakeholders in this area will be organised immediately.,0.03725862316787243,Neutral
63,Mandela,A programme is already being implemented to electrify 350 000 homes during the current financial year.,A programme is already being implemented to electrify 350 000 homes during the current financial year.,0.19855822809040546,Neutral
64,Mandela,"A campaign will be launched at every level of government, a public works programme designed and all efforts made to involve the private sector, organised labour, the civics and other community organisations to rebuild our townships, restore services in rural and urban areas, while addressing the issue of job creation and training, especially for our unemployed youth.","A campaign will be launched at every level of government, a public works programme designed and all efforts made to involve the private sector, organised labour, the civics and other community organisations to rebuild our townships, restore services in rural and urban areas, while addressing the issue of job creation and training, especially for our unemployed youth.",0.4786533694714308,Positive
65,Mandela,"Many details of the overall reconstruction and development plan remain to be discussed, agreed and put in place.","Many details of the overall reconstruction and development plan remain to be discussed, agreed and put in place.",0.017831580713391304,Neutral
66,Mandela,"But I believe that the broad outline I have given and the immediate initiatives I have mentioned, will allow you to share my joy at the progress already made by the Government of National Unity with regard to this important matter.","But I believe that the broad outline I have given and the immediate initiatives I have mentioned, will allow you to share my joy at the progress already made by the Government of National Unity with regard to this important matter.",0.8820117469877005,Positive
67,Mandela,We shall carry out this plan within the context of a policy aimed at building a strong and growing economy which will benefit all our people.,We shall carry out this plan within the context of a policy aimed at building a strong and growing economy which will benefit all our people.,0.807839373126626,Positive
68,Mandela,I would like to deal with a few matters in this regard.,I would like to deal with a few matters in this regard.,0.012695087119936943,Neutral
69,Mandela,"In support of sustainable economic growth and the macro-economic objective of Government, it will remain the primary objective of monetary policy to promote and maintain overall financial stability.","In support of sustainable economic growth and the macro-economic objective of Government, it will remain the primary objective of monetary policy to promote and maintain overall financial stability.",0.6884960308670998,Positive
70,Mandela,The Reserve Bank has the important function of protecting the value of our currency and striving for relative price stability at all times.,The Reserve Bank has the important function of protecting the value of our currency and striving for relative price stability at all times.,0.6793781854212284,Positive
71,Mandela,We are pleased that Dr Chris Stals will continue to serve as Governor of the Reserve Bank.,We are pleased that Dr Chris Stals will continue to serve as Governor of the Reserve Bank.,0.9759238352999091,Positive
72,Mandela,The battle to reduce the rate of inflation will continue.,The battle to reduce the rate of inflation will continue.,0.749690480530262,Positive
73,Mandela,The realisation of many of our objectives for a fair and equal treatment of all our people will not be possible unless we succeed in avoiding high inflation in the economy.,The realisation of many of our objectives for a fair and equal treatment of all our people will not be possible unless we succeed in avoiding high inflation in the economy.,0.22199536859989166,Positive
74,Mandela,"We also face a major challenge in re-entering the global economy, while stable prices are vital to the restructuring of our industries and dealing with the critical issue of job-creation.","We also face a major challenge in re-entering the global economy, while stable prices are vital to the restructuring of our industries and dealing with the critical issue of job-creation.",0.07175800204277039,Neutral
75,Mandela,We are blessed with a heritage of a sophisticated financial sector.,We are blessed with a heritage of a sophisticated financial sector.,0.9253445882350206,Positive
76,Mandela,Our financial markets are well-placed to play an important part in the allocation of scarce funds to give effect to our economic development programme.,Our financial markets are well-placed to play an important part in the allocation of scarce funds to give effect to our economic development programme.,0.44482172280550003,Positive
77,Mandela,"It is however also necessary that we think in new ways, to meet the challenges of reconstruction and development.","It is however also necessary that we think in new ways, to meet the challenges of reconstruction and development.",0.15702565014362335,Neutral
78,Mandela,We therefore welcome recent developments that provide for the creation of community banks.,We therefore welcome recent developments that provide for the creation of community banks.,0.9101424338296056,Positive
79,Mandela,We would also like to encourage the greater participation of established financial institutions in the important area of black economic empowerment and support for the development of small and medium business.,We would also like to encourage the greater participation of established financial institutions in the important area of black economic empowerment and support for the development of small and medium business.,0.8696969822049141,Positive
80,Mandela,The latter two areas of economic activity will receive the greatest attention of the Government because of their importance in deracialising and democratising the economy and creating the jobs which our people need.,The latter two areas of economic activity will receive the greatest attention of the Government because of their importance in deracialising and democratising the economy and creating the jobs which our people need.,0.5246245339512825,Positive
81,Mandela,We pay attention to the important matter of consumer protection to shield the ordinary people of our country from unscrupulous business practices.,We pay attention to the important matter of consumer protection to shield the ordinary people of our country from unscrupulous business practices.,0.20062966644763947,Neutral
82,Mandela,We must also clear that we must pay increased attention to tourism.,We must also clear that we must pay increased attention to tourism.,0.2049979567527771,Neutral
83,Mandela,The jobs and foreign currency which tourism generates will strongly influence our economy.,The jobs and foreign currency which tourism generates will strongly influence our economy.,0.4717331528663635,Positive
84,Mandela,The active and imaginative intervention of all stake stakeholders in this area of our national life must take advantage of the excellent atmosphere created by our peaceful transition to democracy to make tourism a major positive force in the future.,The active and imaginative intervention of all stake stakeholders in this area of our national life must take advantage of the excellent atmosphere created by our peaceful transition to democracy to make tourism a major positive force in the future.,0.8306626975536346,Positive
85,Mandela,We look forward to the private sector as a whole playing a central role in achieving the signi-ficantly high and sustainable rates of economic growth.,We look forward to the private sector as a whole playing a central role in achieving the signi-ficantly high and sustainable rates of economic growth.,0.9717279686592519,Positive
86,Mandela,We are convinced that the growth prospects of this sector will be enhanced by the measures of fiscal discipline contained in our approach to the Reconstruction and Development Programme and by the continued steady course of monetary policy.,We are convinced that the growth prospects of this sector will be enhanced by the measures of fiscal discipline contained in our approach to the Reconstruction and Development Programme and by the continued steady course of monetary policy.,0.6269405670464039,Positive
87,Mandela,"As growth proceeds, more domestic savings will progressively become available to finance increased investment at reasonable rates of interest.","As growth proceeds, more domestic savings will progressively become available to finance increased investment at reasonable rates of interest.",0.8572422917932272,Positive
88,Mandela,"The Government is also acutely conscious of the fact that we should work firstly to return the capital account of the balance of payments to equilibrium and, in due course, to ensure a net inflow of resources, consistent with the experience of other countries that enjoy more rapid growth rates.","The Government is also acutely conscious of the fact that we should work firstly to return the capital account of the balance of payments to equilibrium and, in due course, to ensure a net inflow of resources, consistent with the experience of other countries that enjoy more rapid growth rates.",0.2550259381532669,Positive
89,Mandela,The present situation of a dual currency and the existence of an exchange control apparatus is a direct result of the conflict in which our country was embroiled in the past.,The present situation of a dual currency and the existence of an exchange control apparatus is a direct result of the conflict in which our country was embroiled in the past.,-0.33513206243515015,Neutral
90,Mandela,"As the situation returns to normal, these arrangements will be subjected to critical scrutiny.","As the situation returns to normal, these arrangements will be subjected to critical scrutiny.",-0.1561736911535263,Neutral
91,Mandela,It should be possible to match the steady growth of confidence at home and abroad with other confidence enhancing modifications to everybody's benefit.,It should be possible to match the steady growth of confidence at home and abroad with other confidence enhancing modifications to everybody's benefit.,0.6910576894879341,Positive
92,Mandela,"The Government will also address all other matters that relate the creation of an attractive investment climate for both domestic and foreign investors, conscious of the fact that we have to compete with the rest of the world in terms of attracting, in particular, foreign direct investment.","The Government will also address all other matters that relate the creation of an attractive investment climate for both domestic and foreign investors, conscious of the fact that we have to compete with the rest of the world in terms of attracting, in particular, foreign direct investment.",0.4644491896033287,Positive
93,Mandela,"I am pleased that we have already started to address the important question of our trade policy, guided by our GATT commitments and the determination systematically to open the economy to global competition in a carefully managed process.","I am pleased that we have already started to address the important question of our trade policy, guided by our GATT commitments and the determination systematically to open the economy to global competition in a carefully managed process.",0.9417152879759669,Positive
94,Mandela,"Soon we will also begin trade negotiations with, among others, the European Union, the United States, our partners in the Southern African Customs Unions and our neighbours in the Southern African Development Community to provide a stable and mutually beneficial framework for our international economic relations.","Soon we will also begin trade negotiations with, among others, the European Union, the United States, our partners in the Southern African Customs Unions and our neighbours in the Southern African Development Community to provide a stable and mutually beneficial framework for our international economic relations.",0.6191497500985861,Positive
95,Mandela,We will also be looking very closely at the question of enhancing South-South cooperation in general as part of the effort to expand our economic links with the rest of the world.,We will also be looking very closely at the question of enhancing South-South cooperation in general as part of the effort to expand our economic links with the rest of the world.,0.37862548418343067,Neutral
96,Mandela,"Consistent with our objective of creating a people-centred society and effectively to address the critical questions of growth, reconstruction and development, we will, together with organised labour and the private sector, pay special attention to the issue of human resource development.","Consistent with our objective of creating a people-centred society and effectively to address the critical questions of growth, reconstruction and development, we will, together with organised labour and the private sector, pay special attention to the issue of human resource development.",0.6985550783574581,Positive
97,Mandela,Both the public and the private sectors will be encouraged to regard labour as a resource and not a cost.,Both the public and the private sectors will be encouraged to regard labour as a resource and not a cost.,0.24575453996658325,Neutral
98,Mandela,"Education and training must therefore be looked at very closely to ensure that we empower the workers, raise productivity levels and meet the skills needs of a modern economy.","Education and training must therefore be looked at very closely to ensure that we empower the workers, raise productivity levels and meet the skills needs of a modern economy.",0.6306775696575642,Positive
99,Mandela,"Important work will have to be done in and significant resources devoted to the areas of science and technology, including research and development.","Important work will have to be done in and significant resources devoted to the areas of science and technology, including research and development.",0.33797762170434,Neutral
100,Mandela,Government is also convinced that organised labour is an important partner whose cooperation is crucial for the reconstruction and development of our country.,Government is also convinced that organised labour is an important partner whose cooperation is crucial for the reconstruction and development of our country.,0.3640067130327225,Positive
101,Mandela,"That partnership requires, among other things, that our labour law be reformed so that it is in line with international standards, apartheid vestiges are removed and a more harmonious labour relations dispensation is created, on the basis of tripartite cooperation between government, labour and capital.","That partnership requires, among other things, that our labour law be reformed so that it is in line with international standards, apartheid vestiges are removed and a more harmonious labour relations dispensation is created, on the basis of tripartite cooperation between government, labour and capital.",0.4334877133369446,Positive
102,Mandela,"The Government is determined forcefully to confront the scourge of unemployment, not by way of handouts but by the creation of work opportunities.","The Government is determined forcefully to confront the scourge of unemployment, not by way of handouts but by the creation of work opportunities.",-0.22999225556850433,Neutral
103,Mandela,"The Government will also deal sensitively with the issue of population movements into the country, to protect our workers, to guard against the exploitation of vulnerable workers and to ensure friendly relations with all countries and peoples.","The Government will also deal sensitively with the issue of population movements into the country, to protect our workers, to guard against the exploitation of vulnerable workers and to ensure friendly relations with all countries and peoples.",0.41182006895542145,Positive
104,Mandela,The Government is also taking urgent measures to deal firmly with drug trafficking some of which is carried out by foreign nationals who are resident in the country.,The Government is also taking urgent measures to deal firmly with drug trafficking some of which is carried out by foreign nationals who are resident in the country.,-0.1930425688624382,Neutral
105,Mandela,We must end racism in the workplace as part of our common offensive against racism in general.,We must end racism in the workplace as part of our common offensive against racism in general.,0.04950639605522156,Neutral
106,Mandela,"No more should words like Kaffirs, Hottentots, Coolies, Boy, Girl and Baas be part of our vocabulary.","No more should words like Kaffirs, Hottentots, Coolies, Boy, Girl and Baas be part of our vocabulary.",-0.3853018581867218,Negative
107,Mandela,I also trust that the matter of paying the workers for the public holidays proclaimed in order to ensure their participation in the elections and the inauguration ceremonies will now be resolved as a result of recent consultations.,I also trust that the matter of paying the workers for the public holidays proclaimed in order to ensure their participation in the elections and the inauguration ceremonies will now be resolved as a result of recent consultations.,0.2911190427839756,Neutral
108,Mandela,This would be a welcome demonstration by the private sector of its involvement in the beautiful future we are all trying to build.,This would be a welcome demonstration by the private sector of its involvement in the beautiful future we are all trying to build.,0.960657512769103,Positive
109,Mandela,We have devoted time to a discussion of economic questions because they are fundamental to the realisation of the fundamental objectives of the reconstruction and development programme.,We have devoted time to a discussion of economic questions because they are fundamental to the realisation of the fundamental objectives of the reconstruction and development programme.,0.07506292685866356,Neutral
110,Mandela,Below I mention some of the work in which the relevant governments are already involved to translate these objectives into reality.,Below I mention some of the work in which the relevant governments are already involved to translate these objectives into reality.,-0.001054421067237854,Neutral
111,Mandela,The Government will take steps to ensure the provision of clean water on the basis of the principle of water security for all and the introduction of proper sanitation sensitive to the protection of the environment.,The Government will take steps to ensure the provision of clean water on the basis of the principle of water security for all and the introduction of proper sanitation sensitive to the protection of the environment.,0.4028933346271515,Neutral
112,Mandela,"We are determined to address the dire housing shortage in a vigorous manner, acting together with the private sector and the communities in need of shelter.","We are determined to address the dire housing shortage in a vigorous manner, acting together with the private sector and the communities in need of shelter.",0.5337930619716644,Positive
113,Mandela,Health also remains a fundamental building block of the humane society we are determined to create through the implementation of the Reconstruction and Development Programme.,Health also remains a fundamental building block of the humane society we are determined to create through the implementation of the Reconstruction and Development Programme.,0.5207847841084003,Positive
114,Mandela,"We must address the needs of the aged and disabled, uplift disadvantaged sectors such as the women and the youth, and improve the lives of our people in the rural communities and the informal settlements.","We must address the needs of the aged and disabled, uplift disadvantaged sectors such as the women and the youth, and improve the lives of our people in the rural communities and the informal settlements.",0.5970583185553551,Positive
115,Mandela,We must invest substantial amounts in education and training and meet our commitment to introduce free and compulsory education for a period of at least 9 years.,We must invest substantial amounts in education and training and meet our commitment to introduce free and compulsory education for a period of at least 9 years.,0.6884764321148396,Positive
116,Mandela,Everywhere we must reinculcate the culture of learning and of teaching and make it possible for this culture to thrive.,Everywhere we must reinculcate the culture of learning and of teaching and make it possible for this culture to thrive.,0.7059265337884426,Positive
117,Mandela,"We must combat such social pathologies as widespread poverty, the break down of family life, crime, alcohol and drug abuse, the abuse of children, women and the elderly and the painful reality of street children.","We must combat such social pathologies as widespread poverty, the break down of family life, crime, alcohol and drug abuse, the abuse of children, women and the elderly and the painful reality of street children.",-0.6125094033777714,Negative
118,Mandela,"We are giving urgent attention to the long waiting lists for the payment of social grants which have developed in some areas, owing to lack of funds.","We are giving urgent attention to the long waiting lists for the payment of social grants which have developed in some areas, owing to lack of funds.",-0.06576790288090706,Neutral
119,Mandela,I am especially pleased that we have a ministry dedicated to the issue of the environment.,I am especially pleased that we have a ministry dedicated to the issue of the environment.,0.933785842731595,Positive
120,Mandela,Its work must impact on many aspects of national activity and address the question of the well-being of society as a whole and the preservation of a healthy environmental future even for generation not yet born.,Its work must impact on many aspects of national activity and address the question of the well-being of society as a whole and the preservation of a healthy environmental future even for generation not yet born.,0.3683402091264725,Neutral
121,Mandela,"As we began this address, we borrowed the words of Ingrid Jonker to focus on the plight of the children our country.","As we began this address, we borrowed the words of Ingrid Jonker to focus on the plight of the children our country.",0.12439711391925812,Neutral
