,Presidents,Sentences,Preprocessed_Sentences,Predicted_Label,Score
26,Mandela,"My government's commitment to create a people-centred society of liberty binds us to the pursuit of the goals of freedom from want, freedom from hunger, freedom from deprivation, freedom from ignorance, freedom from suppression and freedom from fear.","My government's commitment to create a people-centred society of liberty binds us to the pursuit of the goals of freedom from want, freedom from hunger, freedom from deprivation, freedom from ignorance, freedom from suppression and freedom from fear.",positive,0.5975
27,Mandela,These freedoms are fundamental to the guarantee of human dignity.,These freedoms are fundamental to the guarantee of human dignity.,positive,0.5521
28,Mandela,"They will therefore constitute part of the centrepiece of what this government will seek to achieve, the focal point on which our attention will be continuously focused.","They will therefore constitute part of the centrepiece of what this government will seek to achieve, the focal point on which our attention will be continuously focused.",neutral,0.5192
29,Mandela,"The things we have said constitute the true meaning, the justification and the purpose of the Reconstruction and Development Programme, without which it would lose all legitimacy.","The things we have said constitute the true meaning, the justification and the purpose of the Reconstruction and Development Programme, without which it would lose all legitimacy.",neutral,0.6876
30,Mandela,When we elaborated this Programme we were inspired by the hope that all South Africans of goodwill could join together to provide a better life for all.,When we elaborated this Programme we were inspired by the hope that all South Africans of goodwill could join together to provide a better life for all.,positive,0.9196
31,Mandela,We were pleased that other political organisations announced similar aims.,We were pleased that other political organisations announced similar aims.,positive,0.9552
32,Mandela,"Today, I am happy to announce that the Cabinet of the Government of National Unity has reached consensus not only on the broad objective of the creation of the people-centred society of which I have spoken, but also on many elements of a plan broadly based on that Programme for Reconstruction and Development.","Today, I am happy to announce that the Cabinet of the Government of National Unity has reached consensus not only on the broad objective of the creation of the people-centred society of which I have spoken, but also on many elements of a plan broadly based on that Programme for Reconstruction and Development.",positive,0.9259
33,Mandela,Let me indicate some of the more important agreements.,Let me indicate some of the more important agreements.,neutral,0.7209
34,Mandela,"Annually, in the combined budgets of central government and the provinces, we will provide for an increasing amount of funding for the plan.","Annually, in the combined budgets of central government and the provinces, we will provide for an increasing amount of funding for the plan.",neutral,0.5471
35,Mandela,"This will start with an appropriation of R2,5 billion in the 1994/95 budget that will be presented next month.","This will start with an appropriation of R2,5 billion in the 1994/95 budget that will be presented next month.",neutral,0.9482
36,Mandela,This should rise to more than R10 billion by the fifth year of the life of this government.,This should rise to more than R10 billion by the fifth year of the life of this government.,neutral,0.6727
37,Mandela,Government will also use its own allocation of funds to the Reconstruction and Development Plan to exert maximum leverage in marshalling funds from within South Africa and abroad.,Government will also use its own allocation of funds to the Reconstruction and Development Plan to exert maximum leverage in marshalling funds from within South Africa and abroad.,neutral,0.861
38,Mandela,"In this regard, I am pleased to report that we have been holding consultation with some of the principal business leaders of our country.","In this regard, I am pleased to report that we have been holding consultation with some of the principal business leaders of our country.",positive,0.9186
39,Mandela,"Consequently, we are assured that the business sector can and will make a significant contribution towards the structuring and management of such reconstruction and development funds, towards the effective identification and implementation of projects and by supporting the financing of the socio-economic development effort.","Consequently, we are assured that the business sector can and will make a significant contribution towards the structuring and management of such reconstruction and development funds, towards the effective identification and implementation of projects and by supporting the financing of the socio-economic development effort.",positive,0.8242
40,Mandela,I am also pleased to report that many of our friends abroad have already made commitments to assist us to generate the reconstruction and development funds we need.,I am also pleased to report that many of our friends abroad have already made commitments to assist us to generate the reconstruction and development funds we need.,positive,0.9683
41,Mandela,We thank them most sincerely for their positive attitude which arises not from objectives of charity but from the desire to express solidarity with the new society we seek to build.,We thank them most sincerely for their positive attitude which arises not from objectives of charity but from the desire to express solidarity with the new society we seek to build.,positive,0.9679
42,Mandela,"We accept the duty of coordinating the management of the total resources that will be generated, without seeking to prescribe to other contributors or undermining the continued role of non-governmental organisations and community-based organisations.","We accept the duty of coordinating the management of the total resources that will be generated, without seeking to prescribe to other contributors or undermining the continued role of non-governmental organisations and community-based organisations.",neutral,0.8325
43,Mandela,"The initial R2,5 billion will be found from savings and the redirection of spending, as included in the preliminary 1994/95 budget proposals presented to Cabinet.","The initial R2,5 billion will be found from savings and the redirection of spending, as included in the preliminary 1994/95 budget proposals presented to Cabinet.",neutral,0.914
44,Mandela,"I would like to thank the departments of state for their cooperation in carrying out this adjustment to their planning, at short notice.","I would like to thank the departments of state for their cooperation in carrying out this adjustment to their planning, at short notice.",positive,0.8366
45,Mandela,"As we allocate larger amount in future, we shall require further adjustments by departments, partly to correct the bias in the spending patterns which are a legacy of the past.","As we allocate larger amount in future, we shall require further adjustments by departments, partly to correct the bias in the spending patterns which are a legacy of the past.",neutral,0.8271
46,Mandela,The longer period shall allow such changes to be properly planned.,The longer period shall allow such changes to be properly planned.,neutral,0.7609
47,Mandela,But they will still make great demands on the managerial capacity and spirit of cooperation of the Cabinet and the whole civil service.,But they will still make great demands on the managerial capacity and spirit of cooperation of the Cabinet and the whole civil service.,neutral,0.7851
48,Mandela,"We are confident that, motivated by the desire to serve the people, the public service will discharge its responsibilities with diligence, sensitivity and enthusiasm, among other things paying attention to the important goal of increasing efficiency and productivity.","We are confident that, motivated by the desire to serve the people, the public service will discharge its responsibilities with diligence, sensitivity and enthusiasm, among other things paying attention to the important goal of increasing efficiency and productivity.",positive,0.9146
49,Mandela,My government is equally committed to ensure that we use this longer period properly fully to bring into the decision-making processes organs of civil society.,My government is equally committed to ensure that we use this longer period properly fully to bring into the decision-making processes organs of civil society.,positive,0.6052
50,Mandela,"This will include the trade union movement and civic organisations, so that at no time should the government become isolated from the people.","This will include the trade union movement and civic organisations, so that at no time should the government become isolated from the people.",neutral,0.8489
51,Mandela,"At the same time, steps will be taken to build the capacity of communities to manage their own affairs.","At the same time, steps will be taken to build the capacity of communities to manage their own affairs.",neutral,0.741
52,Mandela,"Precisely because we are committed to ensuring sustainable growth and development leading to a better life for all, we will continue existing programmes of fiscal rehabilitation.","Precisely because we are committed to ensuring sustainable growth and development leading to a better life for all, we will continue existing programmes of fiscal rehabilitation.",positive,0.8744
53,Mandela,We are therefore determined to make every effort to contain real general government consumption at present levels and to manage the budget deficit with a view to its continuous reduction.,We are therefore determined to make every effort to contain real general government consumption at present levels and to manage the budget deficit with a view to its continuous reduction.,neutral,0.7057
54,Mandela,"Similarly, we are agreed that a permanently higher general level of taxation is to be avoided.","Similarly, we are agreed that a permanently higher general level of taxation is to be avoided.",neutral,0.6619
55,Mandela,To achieve these important objectives will require consistent discipline on the part of both the central and the provincial governments.,To achieve these important objectives will require consistent discipline on the part of both the central and the provincial governments.,neutral,0.7347
56,Mandela,"Furthermore, this disciplined approach will ensure that we integrate the objectives of our Reconstruction and Development Plan within government expenditure and not treat them as incidental to the tasks of government, marginalised to the status of mere additions to the level of expenditure.","Furthermore, this disciplined approach will ensure that we integrate the objectives of our Reconstruction and Development Plan within government expenditure and not treat them as incidental to the tasks of government, marginalised to the status of mere additions to the level of expenditure.",neutral,0.7276
57,Mandela,There are major areas of desperate need in our society.,There are major areas of desperate need in our society.,negative,0.7421
58,Mandela,"As a signal of its seriousness to address these, the government will, within the next 100 days, implement various projects under the direct supervision of the President.","As a signal of its seriousness to address these, the government will, within the next 100 days, implement various projects under the direct supervision of the President.",neutral,0.8249
59,Mandela,Let me briefly mention these.,Let me briefly mention these.,neutral,0.828
60,Mandela,Children under the age of six and pregnant mothers will receive free medical care in every state hospital and clinic where such need exists.,Children under the age of six and pregnant mothers will receive free medical care in every state hospital and clinic where such need exists.,neutral,0.7053
61,Mandela,"Similarly, a nutritional feeding scheme will be implemented in every primary school where such need is established.","Similarly, a nutritional feeding scheme will be implemented in every primary school where such need is established.",neutral,0.7293
62,Mandela,A concrete process of consultation between the major stakeholders in this area will be organised immediately.,A concrete process of consultation between the major stakeholders in this area will be organised immediately.,neutral,0.8266
63,Mandela,A programme is already being implemented to electrify 350 000 homes during the current financial year.,A programme is already being implemented to electrify 350 000 homes during the current financial year.,neutral,0.735
64,Mandela,"A campaign will be launched at every level of government, a public works programme designed and all efforts made to involve the private sector, organised labour, the civics and other community organisations to rebuild our townships, restore services in rural and urban areas, while addressing the issue of job creation and training, especially for our unemployed youth.","A campaign will be launched at every level of government, a public works programme designed and all efforts made to involve the private sector, organised labour, the civics and other community organisations to rebuild our townships, restore services in rural and urban areas, while addressing the issue of job creation and training, especially for our unemployed youth.",neutral,0.5898
65,Mandela,"Many details of the overall reconstruction and development plan remain to be discussed, agreed and put in place.","Many details of the overall reconstruction and development plan remain to be discussed, agreed and put in place.",neutral,0.9172
66,Mandela,"But I believe that the broad outline I have given and the immediate initiatives I have mentioned, will allow you to share my joy at the progress already made by the Government of National Unity with regard to this important matter.","But I believe that the broad outline I have given and the immediate initiatives I have mentioned, will allow you to share my joy at the progress already made by the Government of National Unity with regard to this important matter.",positive,0.9552
67,Mandela,We shall carry out this plan within the context of a policy aimed at building a strong and growing economy which will benefit all our people.,We shall carry out this plan within the context of a policy aimed at building a strong and growing economy which will benefit all our people.,positive,0.8836
68,Mandela,I would like to deal with a few matters in this regard.,I would like to deal with a few matters in this regard.,neutral,0.8131
69,Mandela,"In support of sustainable economic growth and the macro-economic objective of Government, it will remain the primary objective of monetary policy to promote and maintain overall financial stability.","In support of sustainable economic growth and the macro-economic objective of Government, it will remain the primary objective of monetary policy to promote and maintain overall financial stability.",positive,0.6539
70,Mandela,The Reserve Bank has the important function of protecting the value of our currency and striving for relative price stability at all times.,The Reserve Bank has the important function of protecting the value of our currency and striving for relative price stability at all times.,neutral,0.703
71,Mandela,We are pleased that Dr Chris Stals will continue to serve as Governor of the Reserve Bank.,We are pleased that Dr Chris Stals will continue to serve as Governor of the Reserve Bank.,positive,0.961
72,Mandela,The battle to reduce the rate of inflation will continue.,The battle to reduce the rate of inflation will continue.,neutral,0.8158
73,Mandela,The realisation of many of our objectives for a fair and equal treatment of all our people will not be possible unless we succeed in avoiding high inflation in the economy.,The realisation of many of our objectives for a fair and equal treatment of all our people will not be possible unless we succeed in avoiding high inflation in the economy.,neutral,0.5663
74,Mandela,"We also face a major challenge in re-entering the global economy, while stable prices are vital to the restructuring of our industries and dealing with the critical issue of job-creation.","We also face a major challenge in re-entering the global economy, while stable prices are vital to the restructuring of our industries and dealing with the critical issue of job-creation.",neutral,0.6995
75,Mandela,We are blessed with a heritage of a sophisticated financial sector.,We are blessed with a heritage of a sophisticated financial sector.,positive,0.9495
76,Mandela,Our financial markets are well-placed to play an important part in the allocation of scarce funds to give effect to our economic development programme.,Our financial markets are well-placed to play an important part in the allocation of scarce funds to give effect to our economic development programme.,positive,0.8421
77,Mandela,"It is however also necessary that we think in new ways, to meet the challenges of reconstruction and development.","It is however also necessary that we think in new ways, to meet the challenges of reconstruction and development.",neutral,0.8135
78,Mandela,We therefore welcome recent developments that provide for the creation of community banks.,We therefore welcome recent developments that provide for the creation of community banks.,positive,0.9155
79,Mandela,We would also like to encourage the greater participation of established financial institutions in the important area of black economic empowerment and support for the development of small and medium business.,We would also like to encourage the greater participation of established financial institutions in the important area of black economic empowerment and support for the development of small and medium business.,positive,0.7695
80,Mandela,The latter two areas of economic activity will receive the greatest attention of the Government because of their importance in deracialising and democratising the economy and creating the jobs which our people need.,The latter two areas of economic activity will receive the greatest attention of the Government because of their importance in deracialising and democratising the economy and creating the jobs which our people need.,positive,0.8389
81,Mandela,We pay attention to the important matter of consumer protection to shield the ordinary people of our country from unscrupulous business practices.,We pay attention to the important matter of consumer protection to shield the ordinary people of our country from unscrupulous business practices.,neutral,0.645
82,Mandela,We must also clear that we must pay increased attention to tourism.,We must also clear that we must pay increased attention to tourism.,neutral,0.8332
83,Mandela,The jobs and foreign currency which tourism generates will strongly influence our economy.,The jobs and foreign currency which tourism generates will strongly influence our economy.,positive,0.5484
84,Mandela,The active and imaginative intervention of all stake stakeholders in this area of our national life must take advantage of the excellent atmosphere created by our peaceful transition to democracy to make tourism a major positive force in the future.,The active and imaginative intervention of all stake stakeholders in this area of our national life must take advantage of the excellent atmosphere created by our peaceful transition to democracy to make tourism a major positive force in the future.,positive,0.8912
85,Mandela,We look forward to the private sector as a whole playing a central role in achieving the signi-ficantly high and sustainable rates of economic growth.,We look forward to the private sector as a whole playing a central role in achieving the signi-ficantly high and sustainable rates of economic growth.,positive,0.9083
86,Mandela,We are convinced that the growth prospects of this sector will be enhanced by the measures of fiscal discipline contained in our approach to the Reconstruction and Development Programme and by the continued steady course of monetary policy.,We are convinced that the growth prospects of this sector will be enhanced by the measures of fiscal discipline contained in our approach to the Reconstruction and Development Programme and by the continued steady course of monetary policy.,positive,0.8973
87,Mandela,"As growth proceeds, more domestic savings will progressively become available to finance increased investment at reasonable rates of interest.","As growth proceeds, more domestic savings will progressively become available to finance increased investment at reasonable rates of interest.",positive,0.5049
88,Mandela,"The Government is also acutely conscious of the fact that we should work firstly to return the capital account of the balance of payments to equilibrium and, in due course, to ensure a net inflow of resources, consistent with the experience of other countries that enjoy more rapid growth rates.","The Government is also acutely conscious of the fact that we should work firstly to return the capital account of the balance of payments to equilibrium and, in due course, to ensure a net inflow of resources, consistent with the experience of other countries that enjoy more rapid growth rates.",neutral,0.7595
89,Mandela,The present situation of a dual currency and the existence of an exchange control apparatus is a direct result of the conflict in which our country was embroiled in the past.,The present situation of a dual currency and the existence of an exchange control apparatus is a direct result of the conflict in which our country was embroiled in the past.,neutral,0.4953
90,Mandela,"As the situation returns to normal, these arrangements will be subjected to critical scrutiny.","As the situation returns to normal, these arrangements will be subjected to critical scrutiny.",neutral,0.8528
91,Mandela,It should be possible to match the steady growth of confidence at home and abroad with other confidence enhancing modifications to everybody's benefit.,It should be possible to match the steady growth of confidence at home and abroad with other confidence enhancing modifications to everybody's benefit.,positive,0.7911
92,Mandela,"The Government will also address all other matters that relate the creation of an attractive investment climate for both domestic and foreign investors, conscious of the fact that we have to compete with the rest of the world in terms of attracting, in particular, foreign direct investment.","The Government will also address all other matters that relate the creation of an attractive investment climate for both domestic and foreign investors, conscious of the fact that we have to compete with the rest of the world in terms of attracting, in particular, foreign direct investment.",neutral,0.674
93,Mandela,"I am pleased that we have already started to address the important question of our trade policy, guided by our GATT commitments and the determination systematically to open the economy to global competition in a carefully managed process.","I am pleased that we have already started to address the important question of our trade policy, guided by our GATT commitments and the determination systematically to open the economy to global competition in a carefully managed process.",positive,0.8968
94,Mandela,"Soon we will also begin trade negotiations with, among others, the European Union, the United States, our partners in the Southern African Customs Unions and our neighbours in the Southern African Development Community to provide a stable and mutually beneficial framework for our international economic relations.","Soon we will also begin trade negotiations with, among others, the European Union, the United States, our partners in the Southern African Customs Unions and our neighbours in the Southern African Development Community to provide a stable and mutually beneficial framework for our international economic relations.",neutral,0.7247
95,Mandela,We will also be looking very closely at the question of enhancing South-South cooperation in general as part of the effort to expand our economic links with the rest of the world.,We will also be looking very closely at the question of enhancing South-South cooperation in general as part of the effort to expand our economic links with the rest of the world.,neutral,0.5429
96,Mandela,"Consistent with our objective of creating a people-centred society and effectively to address the critical questions of growth, reconstruction and development, we will, together with organised labour and the private sector, pay special attention to the issue of human resource development.","Consistent with our objective of creating a people-centred society and effectively to address the critical questions of growth, reconstruction and development, we will, together with organised labour and the private sector, pay special attention to the issue of human resource development.",positive,0.5405
97,Mandela,Both the public and the private sectors will be encouraged to regard labour as a resource and not a cost.,Both the public and the private sectors will be encouraged to regard labour as a resource and not a cost.,neutral,0.7143
98,Mandela,"Education and training must therefore be looked at very closely to ensure that we empower the workers, raise productivity levels and meet the skills needs of a modern economy.","Education and training must therefore be looked at very closely to ensure that we empower the workers, raise productivity levels and meet the skills needs of a modern economy.",positive,0.614
99,Mandela,"Important work will have to be done in and significant resources devoted to the areas of science and technology, including research and development.","Important work will have to be done in and significant resources devoted to the areas of science and technology, including research and development.",positive,0.6409
100,Mandela,Government is also convinced that organised labour is an important partner whose cooperation is crucial for the reconstruction and development of our country.,Government is also convinced that organised labour is an important partner whose cooperation is crucial for the reconstruction and development of our country.,positive,0.8307
101,Mandela,"That partnership requires, among other things, that our labour law be reformed so that it is in line with international standards, apartheid vestiges are removed and a more harmonious labour relations dispensation is created, on the basis of tripartite cooperation between government, labour and capital.","That partnership requires, among other things, that our labour law be reformed so that it is in line with international standards, apartheid vestiges are removed and a more harmonious labour relations dispensation is created, on the basis of tripartite cooperation between government, labour and capital.",neutral,0.7354
102,Mandela,"The Government is determined forcefully to confront the scourge of unemployment, not by way of handouts but by the creation of work opportunities.","The Government is determined forcefully to confront the scourge of unemployment, not by way of handouts but by the creation of work opportunities.",neutral,0.6416
103,Mandela,"The Government will also deal sensitively with the issue of population movements into the country, to protect our workers, to guard against the exploitation of vulnerable workers and to ensure friendly relations with all countries and peoples.","The Government will also deal sensitively with the issue of population movements into the country, to protect our workers, to guard against the exploitation of vulnerable workers and to ensure friendly relations with all countries and peoples.",neutral,0.7787
104,Mandela,The Government is also taking urgent measures to deal firmly with drug trafficking some of which is carried out by foreign nationals who are resident in the country.,The Government is also taking urgent measures to deal firmly with drug trafficking some of which is carried out by foreign nationals who are resident in the country.,neutral,0.709
105,Mandela,We must end racism in the workplace as part of our common offensive against racism in general.,We must end racism in the workplace as part of our common offensive against racism in general.,neutral,0.5066
106,Mandela,"No more should words like Kaffirs, Hottentots, Coolies, Boy, Girl and Baas be part of our vocabulary.","No more should words like Kaffirs, Hottentots, Coolies, Boy, Girl and Baas be part of our vocabulary.",negative,0.8574
107,Mandela,I also trust that the matter of paying the workers for the public holidays proclaimed in order to ensure their participation in the elections and the inauguration ceremonies will now be resolved as a result of recent consultations.,I also trust that the matter of paying the workers for the public holidays proclaimed in order to ensure their participation in the elections and the inauguration ceremonies will now be resolved as a result of recent consultations.,neutral,0.6537
108,Mandela,This would be a welcome demonstration by the private sector of its involvement in the beautiful future we are all trying to build.,This would be a welcome demonstration by the private sector of its involvement in the beautiful future we are all trying to build.,positive,0.9775
109,Mandela,We have devoted time to a discussion of economic questions because they are fundamental to the realisation of the fundamental objectives of the reconstruction and development programme.,We have devoted time to a discussion of economic questions because they are fundamental to the realisation of the fundamental objectives of the reconstruction and development programme.,neutral,0.6025
110,Mandela,Below I mention some of the work in which the relevant governments are already involved to translate these objectives into reality.,Below I mention some of the work in which the relevant governments are already involved to translate these objectives into reality.,neutral,0.907
111,Mandela,The Government will take steps to ensure the provision of clean water on the basis of the principle of water security for all and the introduction of proper sanitation sensitive to the protection of the environment.,The Government will take steps to ensure the provision of clean water on the basis of the principle of water security for all and the introduction of proper sanitation sensitive to the protection of the environment.,positive,0.5722
112,Mandela,"We are determined to address the dire housing shortage in a vigorous manner, acting together with the private sector and the communities in need of shelter.","We are determined to address the dire housing shortage in a vigorous manner, acting together with the private sector and the communities in need of shelter.",positive,0.5176
113,Mandela,Health also remains a fundamental building block of the humane society we are determined to create through the implementation of the Reconstruction and Development Programme.,Health also remains a fundamental building block of the humane society we are determined to create through the implementation of the Reconstruction and Development Programme.,positive,0.5143
114,Mandela,"We must address the needs of the aged and disabled, uplift disadvantaged sectors such as the women and the youth, and improve the lives of our people in the rural communities and the informal settlements.","We must address the needs of the aged and disabled, uplift disadvantaged sectors such as the women and the youth, and improve the lives of our people in the rural communities and the informal settlements.",neutral,0.6119
115,Mandela,We must invest substantial amounts in education and training and meet our commitment to introduce free and compulsory education for a period of at least 9 years.,We must invest substantial amounts in education and training and meet our commitment to introduce free and compulsory education for a period of at least 9 years.,neutral,0.6008
116,Mandela,Everywhere we must reinculcate the culture of learning and of teaching and make it possible for this culture to thrive.,Everywhere we must reinculcate the culture of learning and of teaching and make it possible for this culture to thrive.,positive,0.6442
117,Mandela,"We must combat such social pathologies as widespread poverty, the break down of family life, crime, alcohol and drug abuse, the abuse of children, women and the elderly and the painful reality of street children.","We must combat such social pathologies as widespread poverty, the break down of family life, crime, alcohol and drug abuse, the abuse of children, women and the elderly and the painful reality of street children.",negative,0.8622
118,Mandela,"We are giving urgent attention to the long waiting lists for the payment of social grants which have developed in some areas, owing to lack of funds.","We are giving urgent attention to the long waiting lists for the payment of social grants which have developed in some areas, owing to lack of funds.",negative,0.7364
119,Mandela,I am especially pleased that we have a ministry dedicated to the issue of the environment.,I am especially pleased that we have a ministry dedicated to the issue of the environment.,positive,0.9743
120,Mandela,Its work must impact on many aspects of national activity and address the question of the well-being of society as a whole and the preservation of a healthy environmental future even for generation not yet born.,Its work must impact on many aspects of national activity and address the question of the well-being of society as a whole and the preservation of a healthy environmental future even for generation not yet born.,neutral,0.5373
121,Mandela,"As we began this address, we borrowed the words of Ingrid Jonker to focus on the plight of the children our country.","As we began this address, we borrowed the words of Ingrid Jonker to focus on the plight of the children our country.",neutral,0.8806
122,Mandela,"I would now like to say that the Government will, as a matter of urgency, attend to the tragic and complex question of children and juveniles in detention and prison.","I would now like to say that the Government will, as a matter of urgency, attend to the tragic and complex question of children and juveniles in detention and prison.",neutral,0.6252
123,Mandela,The basic principle from which we will proceed from now onwards is that we must rescue the children of the nation and ensure that the system of criminal justice must be the very last resort in the case of juvenile offenders.,The basic principle from which we will proceed from now onwards is that we must rescue the children of the nation and ensure that the system of criminal justice must be the very last resort in the case of juvenile offenders.,neutral,0.7639
124,Mandela,"I have therefore issued instruction to the Departments concerned, as a matter of urgency, to work out the necessary guidelines which will enable us to empty our prisons of children and to place them in suitable alternative care.","I have therefore issued instruction to the Departments concerned, as a matter of urgency, to work out the necessary guidelines which will enable us to empty our prisons of children and to place them in suitable alternative care.",neutral,0.8523
125,Mandela,This is in addition to an amnesty for various categories serving prisoners as will be effected in terms of what I said in my Inauguration Address two week ago.,This is in addition to an amnesty for various categories serving prisoners as will be effected in terms of what I said in my Inauguration Address two week ago.,neutral,0.9061
126,Mandela,"In this context, I also need to make the point that the Government will also not delay unduly with regard to attending to the vexed and unresolved issue of an amnesty for criminal activities carried out in furtherance of political objectives.","In this context, I also need to make the point that the Government will also not delay unduly with regard to attending to the vexed and unresolved issue of an amnesty for criminal activities carried out in furtherance of political objectives.",neutral,0.7795
